avg_monthly_hrs,department,filed_complaint,salary,satisfaction,status,tenure
221,engineering,,low,0.829896195856,Left,5.0
232,support,,low,0.83454379486,Employed,2.0
184,sales,,medium,0.83498761146,Employed,3.0
206,sales,,low,0.424764288455,Employed,2.0
249,sales,,low,0.779043096207,Employed,3.0
140,sales,,medium,0.660019904653,Employed,4.0
121,sales,1.0,low,0.835570551332,Employed,3.0
150,engineering,,low,0.796683395041,Employed,3.0
215,engineering,1.0,medium,0.715005031778,Employed,7.0
269,support,,medium,0.994037397572,Employed,2.0
147,sales,,medium,0.403551807833,Left,3.0
188,sales,1.0,low,0.481408601913,Employed,5.0
191,support,,low,0.925337129205,Employed,4.0
290,engineering,,medium,0.0903427928993,Left,4.0
253,sales,,medium,0.627725954785,Employed,6.0
258,support,,medium,0.849667273388,Left,5.0
151,engineering,,medium,0.658608148415,Employed,3.0
252,information_technology,,low,0.893364991385,Left,5.0
276,product,,low,0.382260201481,Employed,2.0
154,marketing,,low,0.422224873681,Left,3.0
259,product,,low,0.787468036595,Employed,3.0
136,marketing,,low,0.441057742416,Employed,3.0
176,information_technology,,low,0.871386303936,Employed,3.0
231,support,,medium,0.668369478474,Employed,3.0
109,sales,1.0,low,0.5378283407,Employed,3.0
130,procurement,1.0,low,0.17545398857,Employed,6.0
163,sales,,medium,0.544376725538,Employed,3.0
184,sales,,medium,0.61761099451,Employed,3.0
268,engineering,,low,0.936081051349,Employed,4.0
188,finance,,medium,1.0,Employed,4.0
107,engineering,,medium,0.615676166623,Employed,3.0
156,sales,,medium,0.428014178318,Employed,3.0
234,information_technology,1.0,medium,0.627199942868,Employed,2.0
127,sales,,low,0.834380141441,Employed,3.0
282,information_technology,,medium,0.213991819262,Employed,3.0
133,sales,,low,0.81881990402,Employed,4.0
270,engineering,,low,0.150336701933,Employed,5.0
132,marketing,,low,0.438559831841,Left,3.0
126,support,1.0,low,0.772891198476,Employed,10.0
139,product,,medium,0.683456025422,Employed,3.0
308,engineering,,medium,0.124350225113,Left,4.0
147,engineering,,low,0.401974706734,Left,3.0
274,support,,medium,0.803068372458,Left,6.0
278,sales,,low,0.148641753756,Left,4.0
156,engineering,,medium,0.456248436343,Employed,2.0
185,sales,,low,0.869204283803,Employed,2.0
263,sales,,low,0.759619999861,Employed,6.0
260,sales,,low,0.711329117452,Employed,3.0
224,support,,medium,0.905668551956,Employed,2.0
224,sales,,medium,0.615978243951,Employed,10.0
135,sales,,low,0.388070140261,Left,3.0
147,marketing,,low,0.967868020835,Employed,3.0
245,engineering,,medium,0.0611736227462,Left,4.0
203,product,1.0,medium,0.492376555226,Employed,3.0
235,finance,1.0,high,0.928861452039,Employed,2.0
187,information_technology,,low,0.213485171732,Employed,5.0
132,management,,low,0.42982208453,Left,3.0
258,product,,low,0.146593184754,Left,4.0
165,engineering,,low,0.851394379473,Employed,2.0
146,sales,,low,0.401953818946,Left,3.0
198,engineering,,medium,0.526960725245,Left,2.0
159,marketing,,low,0.43881926966,Left,3.0
275,product,,low,0.894658512778,Employed,3.0
141,support,,medium,0.810725321567,Employed,3.0
173,finance,,low,0.862683386414,Employed,3.0
203,sales,,medium,0.703755788738,Employed,2.0
203,engineering,,low,0.274144973785,Employed,5.0
230,sales,,medium,0.129582617236,Employed,4.0
168,sales,,low,0.475901903919,Employed,2.0
183,information_technology,,low,0.786998508273,Employed,3.0
246,support,,medium,0.461553348758,Employed,3.0
209,engineering,,low,0.831582239545,Employed,3.0
224,sales,,medium,0.527417463367,Employed,6.0
143,support,,low,0.477948490242,Left,3.0
140,sales,,medium,0.503040551037,Employed,2.0
212,support,,low,0.725231676188,Employed,4.0
156,marketing,,low,0.63550328871,Employed,5.0
186,information_technology,,medium,0.72966753059,Employed,2.0
162,sales,,low,0.800482237797,Employed,3.0
158,support,,low,0.352520082651,Left,3.0
156,sales,,low,0.549054592827,Employed,2.0
283,information_technology,,low,0.55000365191,Employed,3.0
214,information_technology,1.0,low,0.96940778655,Employed,2.0
181,product,1.0,medium,0.547941153654,Employed,3.0
140,support,,low,0.526745455356,Employed,3.0
184,engineering,,low,0.914882604937,Employed,3.0
168,sales,1.0,low,0.394051564841,Employed,3.0
146,engineering,,medium,0.471104658609,Left,3.0
251,engineering,,medium,0.69605347067,Employed,2.0
219,support,,low,0.734579415209,Left,5.0
170,product,,low,0.352082285557,Employed,3.0
187,marketing,,medium,0.1891154715,Employed,5.0
207,product,,medium,0.576405944943,Employed,3.0
165,support,,low,0.769536380891,Employed,3.0
139,engineering,,low,0.771816992189,Employed,3.0
165,support,,low,0.59824818897,Employed,4.0
167,engineering,,low,0.487113849919,Employed,2.0
163,sales,,medium,0.792414076414,Employed,3.0
271,information_technology,,low,0.172048602687,Left,4.0
310,sales,,medium,0.14712496977,Left,4.0
257,support,,low,0.762030408475,Employed,3.0
278,sales,,low,0.0979844302499,Left,4.0
229,engineering,,medium,0.0815637410362,Employed,6.0
186,information_technology,,medium,0.736063189186,Employed,3.0
211,sales,,high,0.355979751381,Employed,7.0
248,management,,high,0.62362639988,Employed,3.0
231,management,1.0,high,0.74538874343,Employed,2.0
266,sales,,low,0.694190317681,Employed,5.0
135,engineering,,low,0.391651859939,Left,3.0
248,support,,medium,0.700604105528,Left,5.0
161,information_technology,,low,0.785723886722,Employed,3.0
212,product,,medium,0.531863130276,Employed,2.0
160,sales,,low,0.761765030332,Employed,2.0
268,engineering,,low,0.851411583712,Employed,3.0
116,sales,1.0,low,0.309868647222,Employed,3.0
146,information_technology,,low,0.411233749144,Left,3.0
215,information_technology,,medium,0.606946725712,Employed,3.0
194,sales,,high,0.969190797803,Employed,2.0
200,product,,medium,0.565407293567,Employed,4.0
213,sales,,high,0.543262177395,Employed,3.0
163,information_technology,,low,0.93331321955,Employed,2.0
148,sales,,low,0.443427763613,Left,3.0
245,product,,medium,0.454911641867,Employed,5.0
250,support,,low,0.5534421048,Left,2.0
250,sales,1.0,low,0.832955695628,Employed,2.0
173,engineering,,medium,0.452392397848,Employed,2.0
248,sales,1.0,low,0.741786835002,Employed,3.0
158,management,,medium,0.956238933842,Employed,3.0
196,support,,low,0.468987245804,Employed,2.0
265,procurement,,low,0.906159310018,Employed,8.0
159,engineering,,high,0.961235399317,Employed,3.0
262,sales,,medium,0.972423058356,Employed,3.0
175,sales,,medium,0.2846772958,Employed,3.0
278,sales,,low,0.114724686913,Left,4.0
248,sales,,low,0.933486376879,Left,5.0
275,product,,low,0.63172969046,Employed,2.0
258,support,,low,0.293123234813,Employed,6.0
