avg_monthly_hrs,department,filed_complaint,salary,satisfaction,status,tenure
221,engineering,0.0,low,0.829896195856,0,5.0
232,support,0.0,low,0.83454379486,1,2.0
184,sales,0.0,medium,0.83498761146,1,3.0
206,sales,0.0,low,0.424764288455,1,2.0
249,sales,0.0,low,0.779043096207,1,3.0
140,sales,0.0,medium,0.660019904653,1,4.0
121,sales,1.0,low,0.835570551332,1,3.0
150,engineering,0.0,low,0.796683395041,1,3.0
269,support,0.0,medium,0.994037397572,1,2.0
147,sales,0.0,medium,0.403551807833,0,3.0
188,sales,1.0,low,0.481408601913,1,5.0
191,support,0.0,low,0.925337129205,1,4.0
290,engineering,0.0,medium,0.0903427928993,0,4.0
258,support,0.0,medium,0.849667273388,0,5.0
151,engineering,0.0,medium,0.658608148415,1,3.0
252,information_technology,0.0,low,0.893364991385,0,5.0
276,product,0.0,low,0.382260201481,1,2.0
154,marketing,0.0,low,0.422224873681,0,3.0
259,product,0.0,low,0.787468036595,1,3.0
136,marketing,0.0,low,0.441057742416,1,3.0
176,information_technology,0.0,low,0.871386303936,1,3.0
231,support,0.0,medium,0.668369478474,1,3.0
109,sales,1.0,low,0.5378283407,1,3.0
163,sales,0.0,medium,0.544376725538,1,3.0
184,sales,0.0,medium,0.61761099451,1,3.0
268,engineering,0.0,low,0.936081051349,1,4.0
188,finance,0.0,medium,1.0,1,4.0
107,engineering,0.0,medium,0.615676166623,1,3.0
156,sales,0.0,medium,0.428014178318,1,3.0
234,information_technology,1.0,medium,0.627199942868,1,2.0
127,sales,0.0,low,0.834380141441,1,3.0
282,information_technology,0.0,medium,0.213991819262,1,3.0
133,sales,0.0,low,0.81881990402,1,4.0
270,engineering,0.0,low,0.150336701933,1,5.0
132,marketing,0.0,low,0.438559831841,0,3.0
139,product,0.0,medium,0.683456025422,1,3.0
308,engineering,0.0,medium,0.124350225113,0,4.0
147,engineering,0.0,low,0.401974706734,0,3.0
278,sales,0.0,low,0.148641753756,0,4.0
156,engineering,0.0,medium,0.456248436343,1,2.0
185,sales,0.0,low,0.869204283803,1,2.0
260,sales,0.0,low,0.711329117452,1,3.0
224,support,0.0,medium,0.905668551956,1,2.0
135,sales,0.0,low,0.388070140261,0,3.0
147,marketing,0.0,low,0.967868020835,1,3.0
245,engineering,0.0,medium,0.0611736227462,0,4.0
203,product,1.0,medium,0.492376555226,1,3.0
235,finance,1.0,high,0.928861452039,1,2.0
187,information_technology,0.0,low,0.213485171732,1,5.0
132,management,0.0,low,0.42982208453,0,3.0
258,product,0.0,low,0.146593184754,0,4.0
165,engineering,0.0,low,0.851394379473,1,2.0
146,sales,0.0,low,0.401953818946,0,3.0
